index_name,date,close,high,low,bottom_structure,top_structure,bottom_divergence
创业板指,2021-12-13,3496.962,3508.192,3457.544,0,0,0
创业板指,2021-12-14,3495.06,3507.271,3486.913,0,0,0
创业板指,2021-12-15,3464.758,3520.466,3462.506,0,0,0
创业板指,2021-12-16,3490.449,3491.183,3467.734,0,0,0
创业板指,2021-12-17,3434.339,3486.236,3427.016,0,0,0
创业板指,2021-12-20,3332.606,3434.091,3327.79,0,0,0
创业板指,2021-12-21,3350.429,3354.925,3306.962,0,0,0
创业板指,2021-12-22,3368.699,3379.08,3354.382,0,0,0
创业板指,2021-12-23,3373.703,3389.854,3358.916,0,0,0
创业板指,2021-12-24,3297.106,3384.293,3280.937,0,0,0
创业板指,2021-12-27,3293.811,3315.753,3273.815,0,0,0
创业板指,2021-12-28,3328.559,3331.316,3280.067,0,0,0
创业板指,2021-12-29,3281.897,3326.212,3281.897,0,0,0
创业板指,2021-12-30,3322.795,3339.654,3280.308,0,0,0
创业板指,2021-12-31,3322.673,3353.567,3315.073,0,0,0
创业板指,2022-01-04,3250.159,3349.455,3238.245,0,0,0
创业板指,2022-01-05,3161.507,3245.758,3145.047,0,0,0
创业板指,2022-01-06,3127.48,3150.113,3093.039,0,0,0
创业板指,2022-01-07,3096.881,3147.227,3093.207,0,0,0
创业板指,2022-01-10,3095.689,3115.469,3051.531,0,0,0
创业板指,2022-01-11,3056.153,3103.827,3050.586,0,0,0
创业板指,2022-01-12,3136.685,3139.38,3088.781,0,0,0
创业板指,2022-01-13,3083.141,3145.02,3083.141,0,0,0
创业板指,2022-01-14,3119.408,3128.251,3057.939,0,0,0
创业板指,2022-01-17,3170.408,3176.242,3113.977,0,0,0
创业板指,2022-01-18,3144.333,3177.822,3136.251,0,0,0
创业板指,2022-01-19,3075.977,3141.281,3052.645,0,0,0
创业板指,2022-01-20,3065.994,3102.306,3056.959,0,0,0
创业板指,2022-01-21,3034.679,3069.881,3020.3,0,0,1
创业板指,2022-01-24,3056.434,3071.058,3010.204,1,0,1
创业板指,2022-01-25,2974.955,3055.876,2974.955,0,0,1
创业板指,2022-01-26,3004.412,3008.383,2952.908,1,0,1
创业板指,2022-01-27,2906.763,3001.549,2904.715,0,0,1
创业板指,2022-01-28,2908.945,2962.769,2882.674,0,0,0
创业板指,2022-02-07,2917.864,2987.498,2905.249,1,0,0
创业板指,2022-02-08,2846.482,2913.319,2782.277,0,0,0
创业板指,2022-02-09,2883.597,2887.731,2818.393,0,0,0
创业板指,2022-02-10,2826.517,2891.3,2796.901,0,0,0
创业板指,2022-02-11,2746.383,2811.777,2742.514,0,0,0
创业板指,2022-02-14,2732.01,2776.233,2710.884,0,0,0
创业板指,2022-02-15,2816.444,2817.807,2739.42,0,0,0
创业板指,2022-02-16,2818.397,2841.326,2808.265,0,0,0
创业板指,2022-02-17,2839.825,2861.967,2804.887,0,0,0
创业板指,2022-02-18,2826.813,2829.825,2803.237,0,0,0
创业板指,2022-02-21,2804.598,2836.279,2794.259,0,0,0
创业板指,2022-02-22,2765.91,2783.283,2741.971,0,0,0
创业板指,2022-02-23,2843.866,2845.082,2770.214,0,0,0
创业板指,2022-02-24,2783.899,2852.721,2746.62,0,0,0
创业板指,2022-02-25,2855.803,2882.073,2827.829,0,0,0
创业板指,2022-02-28,2881.306,2881.306,2834.543,0,0,0
创业板指,2022-03-01,2885.786,2905.128,2865.884,0,0,0
创业板指,2022-03-02,2834.636,2866.69,2811.118,0,0,0
创业板指,2022-03-03,2791.949,2853.474,2789.515,0,0,0
创业板指,2022-03-04,2748.638,2797.82,2737.474,0,0,0
创业板指,2022-03-07,2630.371,2720.783,2620.829,0,0,1
创业板指,2022-03-08,2582.986,2654.639,2567.91,0,0,1
创业板指,2022-03-09,2566.719,2608.208,2462.17,0,0,1
创业板指,2022-03-10,2635.194,2664.58,2625.601,1,0,0
